column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
703,4,4,Shipping on time,0,2015-10-17 01:10:00.0000000,Standard Class,Europe,19528
704,4,4,Shipping on time,0,2016-12-31 09:50:00.0000000,Standard Class,Europe,49763
705,4,4,Shipping on time,0,2015-08-26 17:43:00.0000000,Standard Class,Europe,16013
722,4,4,Shipping on time,0,2015-07-04 21:28:00.0000000,Standard Class,Europe,12393
723,4,4,Shipping on time,0,2017-08-23 22:39:00.0000000,Standard Class,Europe,65898
729,4,4,Shipping on time,0,2016-11-19 01:50:00.0000000,Standard Class,Europe,46863
731,4,4,Shipping on time,0,2015-09-27 20:28:00.0000000,Standard Class,Europe,18213
732,4,4,Shipping on time,0,2015-09-08 03:30:00.0000000,Standard Class,Europe,16863
738,4,4,Shipping on time,0,2016-03-07 10:47:00.0000000,Standard Class,Pacific Asia,29283
741,4,4,Shipping on time,0,2015-12-29 11:24:00.0000000,Standard Class,Pacific Asia,24558
743,4,4,Shipping on time,0,2015-11-20 04:59:00.0000000,Standard Class,Pacific Asia,21868
745,4,4,Shipping on time,0,2017-01-13 00:53:00.0000000,Standard Class,Pacific Asia,50628
755,4,4,Shipping on time,0,2015-12-27 17:22:00.0000000,Standard Class,Pacific Asia,24438
760,4,4,Shipping on time,0,2016-01-22 04:43:00.0000000,Standard Class,Pacific Asia,26183
774,4,4,Shipping on time,0,2016-12-29 00:02:00.0000000,Standard Class,Pacific Asia,49598
783,4,4,Shipping on time,0,2016-03-27 12:30:00.0000000,Standard Class,Pacific Asia,30658
784,4,4,Shipping on time,0,2016-03-22 15:08:00.0000000,Standard Class,Pacific Asia,30323
787,4,4,Shipping on time,0,2017-11-27 16:54:00.0000000,Standard Class,Pacific Asia,72458
795,4,4,Shipping on time,0,2017-01-02 05:38:00.0000000,Standard Class,Pacific Asia,49888
797,4,4,Shipping on time,0,2015-12-29 07:54:00.0000000,Standard Class,Pacific Asia,24548
801,4,4,Shipping on time,0,2017-12-23 00:45:00.0000000,Standard Class,Pacific Asia,74193
811,4,4,Shipping on time,0,2017-07-24 08:40:00.0000000,Standard Class,Europe,63803
816,4,4,Shipping on time,0,2015-09-15 12:26:00.0000000,Standard Class,Europe,17368
823,4,4,Shipping on time,0,2015-10-11 19:03:00.0000000,Standard Class,Europe,19168
825,4,4,Shipping on time,0,2015-09-13 11:23:00.0000000,Standard Class,Europe,17228
830,4,4,Shipping on time,0,2017-09-20 23:18:00.0000000,Standard Class,Europe,67818
831,4,4,Shipping on time,0,2015-08-29 17:32:00.0000000,Standard Class,Europe,16218
834,4,4,Shipping on time,0,2015-06-28 16:34:00.0000000,Standard Class,Europe,11968
836,4,4,Shipping on time,0,2015-10-23 13:04:00.0000000,Standard Class,Europe,19973
838,4,4,Shipping on time,0,2015-06-20 01:52:00.0000000,Standard Class,Europe,11378
840,4,4,Shipping on time,0,2015-06-15 18:31:00.0000000,Standard Class,Europe,11083
843,4,4,Shipping on time,0,2016-09-20 12:26:00.0000000,Standard Class,Europe,42783
848,4,4,Shipping on time,0,2017-07-24 22:41:00.0000000,Standard Class,Europe,63843
852,4,4,Shipping on time,0,2015-10-01 06:48:00.0000000,Standard Class,Europe,18448
854,4,4,Shipping on time,0,2015-10-14 04:51:00.0000000,Standard Class,Europe,19333
857,4,4,Shipping on time,0,2015-09-01 01:35:00.0000000,Standard Class,Europe,16378
870,4,4,Shipping on time,0,2015-08-27 23:29:00.0000000,Standard Class,Europe,16098
872,4,4,Shipping on time,0,2016-09-04 23:19:00.0000000,Standard Class,Europe,41718
877,4,4,Shipping on time,0,2015-08-27 21:44:00.0000000,Standard Class,Europe,16093
880,4,4,Shipping on time,0,2017-01-12 10:52:00.0000000,Standard Class,Europe,50588
882,4,4,Shipping on time,0,2015-07-21 11:06:00.0000000,Standard Class,Europe,13528
908,4,4,Shipping on time,0,2015-11-28 23:11:00.0000000,Standard Class,Pacific Asia,22468
912,4,4,Shipping on time,0,2016-01-02 18:45:00.0000000,Standard Class,Pacific Asia,24853
914,4,4,Shipping on time,0,2016-03-31 23:22:00.0000000,Standard Class,Pacific Asia,30963
915,4,4,Shipping on time,0,2015-12-23 01:15:00.0000000,Standard Class,Pacific Asia,24118
919,4,4,Shipping on time,0,2015-12-19 13:10:00.0000000,Standard Class,Pacific Asia,23878
924,4,4,Shipping on time,0,2015-11-17 17:25:00.0000000,Standard Class,Pacific Asia,21698
925,4,4,Shipping on time,0,2015-11-06 08:09:00.0000000,Standard Class,Pacific Asia,20918
936,4,4,Shipping on time,0,2016-11-07 13:04:00.0000000,Standard Class,Pacific Asia,46073
938,4,4,Shipping on time,0,2016-09-30 12:25:00.0000000,Standard Class,Pacific Asia,43468
940,4,4,Shipping on time,0,2015-12-06 13:22:00.0000000,Standard Class,Pacific Asia,22988
941,4,4,Shipping on time,0,2016-03-17 19:32:00.0000000,Standard Class,Pacific Asia,29993
942,4,4,Shipping on time,0,2016-02-26 00:17:00.0000000,Standard Class,Pacific Asia,28568
943,4,4,Shipping on time,0,2015-11-04 05:21:00.0000000,Standard Class,Pacific Asia,20773
956,4,4,Shipping on time,0,2016-11-04 11:30:00.0000000,Standard Class,Pacific Asia,45863
961,4,4,Shipping on time,0,2016-01-03 03:31:00.0000000,Standard Class,Pacific Asia,24878
966,4,4,Shipping on time,0,2016-03-28 07:46:00.0000000,Standard Class,Pacific Asia,30713
967,4,4,Shipping on time,0,2016-04-01 18:38:00.0000000,Standard Class,Pacific Asia,31018
968,2,2,Shipping on time,0,2018-01-13 10:21:00.0000000,Second Class,Pacific Asia,75796
971,4,4,Shipping on time,0,2018-01-15 09:18:00.0000000,Standard Class,Pacific Asia,75793
973,2,2,Shipping on time,0,2018-01-13 08:36:00.0000000,Second Class,Pacific Asia,75791
981,4,4,Shipping on time,0,2018-01-15 05:48:00.0000000,Standard Class,Pacific Asia,75783
993,0,0,Shipping on time,0,2018-01-11 13:36:00.0000000,Same Day,Pacific Asia,75771
996,4,4,Shipping on time,0,2018-01-15 00:33:00.0000000,Standard Class,Pacific Asia,75768
1003,2,2,Shipping on time,0,2018-01-12 22:06:00.0000000,Second Class,Pacific Asia,75761
1021,4,4,Shipping on time,0,2018-01-14 15:47:00.0000000,Standard Class,Pacific Asia,75743
1026,4,4,Shipping on time,0,2018-01-14 14:02:00.0000000,Standard Class,Pacific Asia,75738
1039,4,4,Shipping on time,0,2017-12-08 19:10:00.0000000,Standard Class,Pacific Asia,73218
1049,4,4,Shipping on time,0,2017-12-08 15:40:00.0000000,Standard Class,Pacific Asia,73208
1059,4,4,Shipping on time,0,2017-12-08 12:10:00.0000000,Standard Class,Pacific Asia,73198
1061,2,2,Shipping on time,0,2017-12-06 11:28:00.0000000,Second Class,Pacific Asia,73196
1066,2,2,Shipping on time,0,2017-12-06 09:43:00.0000000,Second Class,Pacific Asia,73191
1074,4,4,Shipping on time,0,2017-12-08 06:54:00.0000000,Standard Class,Pacific Asia,73183
1075,0,0,Shipping on time,0,2017-12-04 18:33:00.0000000,Same Day,Pacific Asia,73182
1079,4,4,Shipping on time,0,2017-12-08 05:09:00.0000000,Standard Class,Pacific Asia,73178
1084,4,4,Shipping on time,0,2017-12-08 03:24:00.0000000,Standard Class,Pacific Asia,73173
1099,4,4,Shipping on time,0,2017-12-07 22:09:00.0000000,Standard Class,Pacific Asia,73158
1104,4,4,Shipping on time,0,2017-12-07 20:24:00.0000000,Standard Class,Pacific Asia,73153
1109,4,4,Shipping on time,0,2017-12-07 18:39:00.0000000,Standard Class,Pacific Asia,73148
1111,2,2,Shipping on time,0,2017-12-05 17:57:00.0000000,Second Class,Pacific Asia,73146
1114,4,4,Shipping on time,0,2017-12-07 16:54:00.0000000,Standard Class,Pacific Asia,73143
1119,4,4,Shipping on time,0,2017-12-07 15:08:00.0000000,Standard Class,Pacific Asia,73138
1134,4,4,Shipping on time,0,2017-12-07 09:53:00.0000000,Standard Class,Pacific Asia,73123
1136,2,2,Shipping on time,0,2017-12-05 09:11:00.0000000,Second Class,Pacific Asia,73121
1139,4,4,Shipping on time,0,2017-12-07 08:08:00.0000000,Standard Class,Pacific Asia,73118
1144,4,4,Shipping on time,0,2017-12-07 06:23:00.0000000,Standard Class,Pacific Asia,73113
1149,4,4,Shipping on time,0,2017-12-07 04:38:00.0000000,Standard Class,Pacific Asia,73108
1156,2,2,Shipping on time,0,2017-12-05 02:11:00.0000000,Second Class,Pacific Asia,73101
1157,0,0,Shipping on time,0,2017-12-03 13:50:00.0000000,Same Day,Pacific Asia,73100
1158,0,0,Shipping on time,0,2017-12-03 13:29:00.0000000,Same Day,Pacific Asia,73099
1159,4,4,Shipping on time,0,2017-12-07 01:08:00.0000000,Standard Class,Pacific Asia,73098
1163,2,2,Shipping on time,0,2015-04-05 07:55:00.0000000,Second Class,LATAM,6326
1168,2,2,Shipping on time,0,2017-03-29 02:00:00.0000000,Second Class,LATAM,55906
1171,2,2,Shipping on time,0,2016-03-29 08:39:00.0000000,Second Class,Pacific Asia,30921
1174,2,2,Shipping on time,0,2016-06-30 03:05:00.0000000,Second Class,USCA,37276
1179,4,4,Shipping on time,0,2016-10-25 18:31:00.0000000,Standard Class,Africa,45198
1180,4,4,Shipping on time,0,2016-10-28 23:35:00.0000000,Standard Class,Africa,45418
1183,4,4,Shipping on time,0,2017-01-06 23:30:00.0000000,Standard Class,Africa,50213
1193,4,4,Shipping on time,0,2016-12-04 07:57:00.0000000,Standard Class,Africa,47908
1203,4,4,Shipping on time,0,2015-06-19 11:51:00.0000000,Standard Class,Europe,11338
1209,4,4,Shipping on time,0,2017-10-18 04:42:00.0000000,Standard Class,Europe,69683
1211,4,4,Shipping on time,0,2017-11-06 02:24:00.0000000,Standard Class,Europe,70978
1212,4,4,Shipping on time,0,2017-10-15 04:53:00.0000000,Standard Class,Europe,69478
1216,4,4,Shipping on time,0,2017-10-21 23:47:00.0000000,Standard Class,Europe,69943
1220,4,4,Shipping on time,0,2017-09-19 12:16:00.0000000,Standard Class,Europe,67718
1238,4,4,Shipping on time,0,2017-10-29 03:28:00.0000000,Standard Class,Europe,70433
1243,4,4,Shipping on time,0,2015-07-02 08:09:00.0000000,Standard Class,Europe,12218
1247,4,4,Shipping on time,0,2015-06-30 17:37:00.0000000,Standard Class,Europe,12108
1251,4,4,Shipping on time,0,2015-07-10 12:21:00.0000000,Standard Class,Europe,12778
1253,4,4,Shipping on time,0,2017-07-23 16:55:00.0000000,Standard Class,Europe,63758
1255,4,4,Shipping on time,0,2015-07-17 14:16:00.0000000,Standard Class,Europe,13263
1265,4,4,Shipping on time,0,2017-07-28 00:16:00.0000000,Standard Class,Europe,64053
1267,4,4,Shipping on time,0,2015-07-14 14:26:00.0000000,Standard Class,Europe,13058
1268,4,4,Shipping on time,0,2017-09-18 04:45:00.0000000,Standard Class,Europe,67628
1270,4,4,Shipping on time,0,2015-06-23 22:42:00.0000000,Standard Class,Europe,11643
1273,4,4,Shipping on time,0,2015-09-26 16:26:00.0000000,Standard Class,Europe,18133
1274,4,4,Shipping on time,0,2015-10-18 08:42:00.0000000,Standard Class,Europe,19618
1276,4,4,Shipping on time,0,2016-12-07 02:31:00.0000000,Standard Class,Europe,48098
1289,2,2,Shipping on time,0,2015-08-20 20:10:00.0000000,Second Class,Europe,15746
1291,2,2,Shipping on time,0,2015-06-22 12:01:00.0000000,Second Class,Europe,11681
1296,2,2,Shipping on time,0,2015-09-07 15:35:00.0000000,Second Class,Europe,16966
1307,2,2,Shipping on time,0,2016-11-23 18:18:00.0000000,Second Class,Europe,47321
1311,2,2,Shipping on time,0,2017-09-03 14:45:00.0000000,Second Class,Europe,66766
1318,2,2,Shipping on time,0,2015-09-25 00:30:00.0000000,Second Class,Europe,18156
1321,2,2,Shipping on time,0,2017-09-18 12:06:00.0000000,Second Class,Europe,67786
1324,2,2,Shipping on time,0,2015-08-20 21:55:00.0000000,Second Class,Europe,15751
1325,2,2,Shipping on time,0,2015-06-16 05:22:00.0000000,Second Class,Europe,11251
1333,2,2,Shipping on time,0,2016-12-05 17:35:00.0000000,Second Class,Europe,48141
1335,2,2,Shipping on time,0,2015-06-11 23:46:00.0000000,Second Class,Europe,10961
1337,2,2,Shipping on time,0,2015-10-25 12:43:00.0000000,Second Class,Europe,20246
1344,2,2,Shipping on time,0,2015-06-13 16:03:00.0000000,Second Class,Europe,11076
1349,2,2,Shipping on time,0,2017-10-06 04:01:00.0000000,Second Class,Europe,68996
1356,2,2,Shipping on time,0,2017-11-11 07:07:00.0000000,Second Class,Europe,71471
1370,2,2,Shipping on time,0,2015-10-09 04:20:00.0000000,Second Class,Europe,19126
1378,2,2,Shipping on time,0,2015-10-03 11:42:00.0000000,Second Class,Europe,18736
1381,2,2,Shipping on time,0,2015-10-14 15:43:00.0000000,Second Class,Europe,19501
1386,2,2,Shipping on time,0,2015-10-09 06:05:00.0000000,Second Class,Europe,19131
1391,2,2,Shipping on time,0,2017-02-26 13:47:00.0000000,Second Class,LATAM,53816
1395,4,4,Shipping on time,0,2017-09-07 02:29:00.0000000,Standard Class,Europe,66868
1401,4,4,Shipping on time,0,2017-06-26 09:46:00.0000000,Standard Class,Europe,61888
1407,4,4,Shipping on time,0,2017-08-17 10:45:00.0000000,Standard Class,Europe,65453
1410,4,4,Shipping on time,0,2017-08-11 12:51:00.0000000,Standard Class,Europe,65048
1415,4,4,Shipping on time,0,2015-07-27 12:30:00.0000000,Standard Class,Europe,13943
1416,4,4,Shipping on time,0,2015-08-18 10:01:00.0000000,Standard Class,Europe,15443
1417,4,4,Shipping on time,0,2017-07-05 16:14:00.0000000,Standard Class,Europe,62523
1426,4,4,Shipping on time,0,2015-09-20 02:47:00.0000000,Standard Class,Europe,17683
1427,4,4,Shipping on time,0,2015-08-13 02:08:00.0000000,Standard Class,Europe,15078
1428,4,4,Shipping on time,0,2017-01-02 02:08:00.0000000,Standard Class,Europe,49878
1435,4,4,Shipping on time,0,2015-08-15 06:41:00.0000000,Standard Class,Europe,15228
1444,4,4,Shipping on time,0,2017-09-29 21:01:00.0000000,Standard Class,Europe,68428
1448,4,4,Shipping on time,0,2017-09-01 02:50:00.0000000,Standard Class,Europe,66458
1457,4,4,Shipping on time,0,2017-09-23 10:52:00.0000000,Standard Class,Europe,67988
1458,4,4,Shipping on time,0,2015-06-28 09:33:00.0000000,Standard Class,Europe,11948
1468,4,4,Shipping on time,0,2015-10-08 05:13:00.0000000,Standard Class,Europe,18923
1478,4,4,Shipping on time,0,2015-06-22 16:55:00.0000000,Standard Class,Europe,11558
1486,4,4,Shipping on time,0,2015-08-02 15:38:00.0000000,Standard Class,Europe,14363
1489,4,4,Shipping on time,0,2015-07-01 11:08:00.0000000,Standard Class,Europe,12158
1507,4,4,Shipping on time,0,2015-08-23 16:08:00.0000000,Standard Class,Europe,15803
1551,4,4,Shipping on time,0,2015-11-26 11:37:00.0000000,Standard Class,Pacific Asia,22298
1558,4,4,Shipping on time,0,2016-03-23 13:55:00.0000000,Standard Class,Pacific Asia,30388
1566,4,4,Shipping on time,0,2015-12-12 06:00:00.0000000,Standard Class,Pacific Asia,23378
1577,4,4,Shipping on time,0,2016-09-07 16:08:00.0000000,Standard Class,Pacific Asia,41903
1580,4,4,Shipping on time,0,2015-12-20 13:42:00.0000000,Standard Class,Pacific Asia,23948
1583,4,4,Shipping on time,0,2015-12-16 18:36:00.0000000,Standard Class,Pacific Asia,23688
1586,4,4,Shipping on time,0,2016-12-30 09:19:00.0000000,Standard Class,Pacific Asia,49693
1591,4,4,Shipping on time,0,2016-04-04 13:12:00.0000000,Standard Class,Pacific Asia,31208
1641,4,4,Shipping on time,0,2016-05-01 13:20:00.0000000,Standard Class,USCA,33058
1644,4,4,Shipping on time,0,2016-04-12 06:53:00.0000000,Standard Class,USCA,31738
1645,4,4,Shipping on time,0,2016-06-04 15:23:00.0000000,Standard Class,USCA,35393
1649,4,4,Shipping on time,0,2016-06-17 20:27:00.0000000,Standard Class,USCA,36298
1662,4,4,Shipping on time,0,2016-08-03 13:33:00.0000000,Standard Class,USCA,39498
1712,4,4,Shipping on time,0,2016-10-02 02:57:00.0000000,Standard Class,Europe,43578
1717,4,4,Shipping on time,0,2017-07-04 19:13:00.0000000,Standard Class,Europe,62463
1719,4,4,Shipping on time,0,2017-07-08 10:48:00.0000000,Standard Class,Europe,62713
1722,4,4,Shipping on time,0,2015-07-30 22:50:00.0000000,Standard Class,Europe,14178
1723,4,4,Shipping on time,0,2017-09-15 17:11:00.0000000,Standard Class,Europe,67458
1726,4,4,Shipping on time,0,2016-11-14 02:43:00.0000000,Standard Class,Europe,46523
1727,4,4,Shipping on time,0,2015-08-29 22:47:00.0000000,Standard Class,Europe,16233
1730,4,4,Shipping on time,0,2015-06-09 13:37:00.0000000,Standard Class,Europe,10658
1740,4,4,Shipping on time,0,2017-06-26 18:31:00.0000000,Standard Class,Europe,61913
1749,4,4,Shipping on time,0,2017-08-04 00:26:00.0000000,Standard Class,Europe,64533
